text,label
"Born on 10 August 1978 in Trabzon, Turkey.","life_timeline"
"Moved to Canada in December 2019.","life_timeline"
"Got married in 2003.","life_timeline"
"First daughter Mel was born in January 2009.","family"
"Second daughter Lian was born in August 2016.","family"
"My father passed away in June 2023.","life_timeline"
"I completed a B.Sc. in Mathematical Engineering in 2000.","education"
"I studied M.Sc. in Computer Engineering but did not complete the thesis.","education"
"I studied Applied AI and Machine Learning at Conestoga College with a B+ average.","education"
"I am currently studying Cybersecurity at Lambton College.","education"
"I have Google Professional Data Analytics certification.","certification"
"I hold IBM AI Engineering certificate.","certification"
"I worked at Akbank for 15 years on mainframe systems.","employment"
"I worked at TD Bank in Canada on COBOL, JCL, DB2 and production support.","employment"
"I work as a freelance AI and ML developer in Ontario.","employment"
"I built a toxicity detection API using FastAPI.","project"
"I created an AI risk detection app for online gaming chats.","project"
"I am building a personal memory assistant called MemoriAI.","project"
"I am developing SafePlayAI to detect scams and grooming in Roblox and Discord.","project"
"I am planning to launch VirexAI as an AI consulting service.","project"
"Mel loves anime, drawing and piano.","family"
"Lian enjoys ballet, dance and swimming.","family"
"Mel used to have social difficulties but improved significantly.","family"
"Lian prefers solitude but is happy and confident.","family"
"I have occasional migraines.","health"
"I have Vitamin D deficiency.","health"
"I have eczema tendencies on my skin.","health"
"I usually visit a family physician and dermatologist for my health issues.","health"
"I study logistic regression, XGBoost, Random Forest and neural networks.","study_ml"
"I use TF-IDF, SMOTE, PCA and K-Means clustering in machine learning projects.","study_ml"
"I work with FastAPI, Streamlit, and Azure DevOps.","study_engineering"
"I use Docker and GitHub for deployment and version control.","study_engineering"
"I manage database configuration using SQLite and SQLAlchemy.","study_engineering"
"I enjoy reading fantasy books like The Lord of the Rings.","personal_interest"
"My favorite quote is: 'Fall seven times, stand up eight.'","quote"
"Stress about mortgage sometimes affects my sleep.","journal"
"I want to start CISSP preparation next year.","future_goal"
"I want to create an AI-driven parental safety platform.","future_goal"
"I plan to combine software engineering with AI and security.","future_goal"
"I believe small habits compound over time.","quote"
"The Lord of the Rings explores themes of friendship and sacrifice.","book_notes"
"Gollum represents duality of personality in Tolkien's story.","book_notes"
"Frodo and Sam show loyalty and courage.","book_notes"
"I enjoy studying cybersecurity topics such as OWASP mobile risks.","study_cyber"
"I completed hands-on labs on Windows GPO, firewall settings and VPNs.","study_cyber"
"I configured linux firewall rules and packet filtering.","study_cyber"
"I completed forensic lab exercises on file acquisition and evidence storage.","study_cyber"
"I have worked on credit scoring models.","project"
"I have built stock prediction tools using machine learning.","project"
"I implemented model explainability using SHAP and LIME.","study_ml"
"I trained a YOLO model for squid classification.","study_ml"
"I built a Streamlit dashboard for segmentation analysis.","project"
"I am working on an AI language model application using PDFs and RAG.","project"
"I want to deploy a local LLM with Mistral or Ollama.","future_goal"
"I like walking in nature to reduce stress.","personal_habit"
"I practice time management to balance multiple projects.","personal_habit"
"I prefer structured step-by-step learning.","personal_habit"
"I enjoy cooking Turkish food on weekends.","personal_interest"
"I have a pet cat and it likes to sit near my laptop.","personal_interest"
"I write personal journal notes about progress and challenges.","journal"
"I sometimes feel overwhelmed with many deadlines.","journal"
"I believe every problem has a systematic solution.","mindset"
"I worked with DB2 databases on mainframe systems.","employment"
"I handled incident management and production troubleshooting.","employment"
"I analyzed root causes and documented permanent fixes.","employment"
"I made sure batch jobs completed without failure.","employment"
"My goal is to finish cybersecurity diploma successfully.","future_goal"
"I want to help people protect their digital identity.","future_goal"
"I want to support children in safe online learning environments.","future_goal"
"I enjoy listening to Lo-fi beats while coding.","personal_interest"
"I drink Turkish tea when studying.","personal_habit"
"I like clean and well-organized documentation.","mindset"
"I use Azure DevOps Boards for sprint planning.","study_engineering"
"I maintain a private GitHub repository with API code.","study_engineering"
"I configure uvicorn and Swagger UI for FastAPI applications.","study_engineering"
"I create training pipelines for ML models.","study_ml"
"I evaluate models using accuracy and F1-score.","study_ml"
"I log model experiments using MLflow.","study_ml"
"I want to build a full personal memory LLM that can answer any question about my life.","future_goal"
"I want to integrate AI with cybersecurity to detect threats.","future_goal"
